timestamp,status,facility_pool_pct,k,L,U,cost_S_L,cost_S_U,final_cost_S_I,theoretical_bound,cost_as_pct_of_bound,min_cluster_size,max_cluster_size,lower_bound_violated,num_lb_violations,upper_bound_violation_factor,all_clients_assigned
2025-08-29T03:52:59.888696,SUCCESS,0.05,10,4974,10944,212905.54576545797,246340.87562346106,258081.67822674543,2150197.220895143,12.002697972016914,4974,10780,0,0,0.985014619883041,1
2025-08-29T03:53:03.720260,SUCCESS,0.05,10,4974,12436,215425.2839483657,207999.0302535703,225093.9747931627,1886843.7796717235,11.929656138905413,5530,12436,0,0,1.0,1
2025-08-29T03:53:07.268832,SUCCESS,0.05,10,4974,14923,204279.72816840326,222761.58831739658,235156.13699566296,1967890.5745585826,11.949655130006953,8234,14870,0,0,0.9964484353012129,1
2025-08-29T03:53:19.723117,SUCCESS,0.05,10,7461,10944,216445.71575033767,226316.01327498484,241819.88523371678,2017103.5244255692,11.988471702392282,10944,11940,0,0,1.0910087719298245,1
2025-08-29T03:53:26.112134,SUCCESS,0.05,10,7461,12436,221898.64477951766,218636.87090881984,234796.4441892861,1974255.3859207742,11.892911416816485,7931,15562,0,0,1.2513669990350595,1
2025-08-29T03:53:30.759977,SUCCESS,0.05,10,7461,14923,232231.6493226254,247660.94596845037,271617.11442257854,2198089.9204244036,12.356961009590323,7461,13481,0,0,0.903370635931113,1
2025-08-29T03:53:33.605544,SUCCESS,0.05,10,8954,10944,212764.43156027098,252681.83573912198,248996.48969984273,2194301.7132943957,11.347413538952855,8954,10889,0,0,0.9949744152046783,1
2025-08-29T03:53:37.306467,SUCCESS,0.05,10,8954,12436,216870.20136530348,220506.85781276607,245018.7970705343,1977288.4074199696,12.391656985954963,9313,14714,0,0,1.1831778706979736,1
2025-08-29T03:53:42.515973,SUCCESS,0.05,10,8954,14923,236833.75954820137,211280.91146541343,226006.76587506392,1952633.8993542967,11.574456735069516,9984,17144,0,0,1.148830664075588,1
2025-08-29T03:53:44.351821,SUCCESS,0.1,10,4974,10944,204442.9249826678,218618.62083355454,231479.40973261785,1939216.1958002173,11.936751056119242,8898,15551,0,0,1.4209612573099415,1
2025-08-29T03:53:46.057836,SUCCESS,0.1,10,4974,12436,209636.99746946385,223832.12115979486,237906.04547228612,1986098.8430574918,11.978560196230848,4974,13558,0,0,1.0902219363139274,1
2025-08-29T03:53:47.753437,SUCCESS,0.1,10,4974,14923,209175.12350143888,207364.44380775862,242393.88396193244,1869901.3536571881,12.96292360491926,4974,14844,0,0,0.9947061582791664,1
2025-08-29T03:53:52.614112,SUCCESS,0.1,10,7461,10944,228014.98113290913,240430.6734652093,256216.8711878741,2139044.6765222833,11.978098166908715,10058,12826,0,0,1.1719663742690059,1
2025-08-29T03:53:58.792615,SUCCESS,0.1,10,7461,12436,223213.42434342497,231673.11994177278,249407.8484951378,2068138.6882792593,12.059532076286967,7461,15065,0,0,1.2114023801865552,1
2025-08-29T03:54:01.926498,SUCCESS,0.1,10,7461,14923,225038.42229842916,221528.56619636135,253448.34352380823,2000776.8079713879,12.66749706983972,7461,21710,0,0,1.454801313408832,1
2025-08-29T03:54:06.005747,SUCCESS,0.1,10,8954,10944,228093.96873505937,233088.01986069468,267498.6347581917,2087804.0764949815,12.81243952771996,8954,19077,0,0,1.7431469298245614,1
2025-08-29T03:54:16.320567,SUCCESS,0.1,10,8954,12436,225779.16116235196,231797.51892148145,232201.45672412432,2074140.954775074,11.195066381074614,8954,18035,0,0,1.4502251527822452,1
2025-08-29T03:54:22.341844,SUCCESS,0.1,10,8954,14923,244741.84769367875,215827.37329441067,269974.9781639817,2000275.3084482322,13.496891004139929,8954,17689,0,0,1.1853514708838706,1
2025-08-29T03:54:23.556538,SUCCESS,0.2,10,4974,10944,201743.76221180544,227348.29782422172,232091.23903507876,1994925.609193163,11.6340798857631,10944,11940,0,0,1.0910087719298245,1
2025-08-29T03:54:24.722878,SUCCESS,0.2,10,4974,12436,209151.75021316088,252721.603649343,261963.65654838775,2187354.725971723,11.976276798543113,4974,12436,0,0,1.0,1
2025-08-29T03:54:26.097467,SUCCESS,0.2,10,4974,14923,203208.7445089668,226775.96988192268,249396.99721008926,1993849.2781913923,12.508317450971804,5594,19434,0,0,1.3022850633250687,1
2025-08-29T03:54:29.337813,SUCCESS,0.2,10,7461,10944,214253.88735572694,258090.26526912788,281803.30646549974,2235139.631595349,12.607861382886417,7461,10944,0,0,1.0,1
2025-08-29T03:54:32.451375,SUCCESS,0.2,10,7461,12436,214473.76878991924,286331.4610047026,267719.77861410135,2433267.7646127567,11.002479156119826,7461,11994,0,0,0.9644580250884529,1
2025-08-29T03:54:35.257631,SUCCESS,0.2,10,7461,14923,208293.15870110443,204006.97486533603,230795.29852167718,1844635.1414595612,12.51170452814106,7461,14167,0,0,0.9493399450512632,1
2025-08-29T03:54:39.020231,SUCCESS,0.2,10,8954,10944,224113.2102922067,251360.77229521656,254494.48829456716,2207751.826650929,11.527314131164147,10241,19019,0,0,1.7378472222222223,1
2025-08-29T03:54:41.421018,SUCCESS,0.2,10,8954,12436,208666.16218555503,238256.5790601712,240754.33941586228,2085128.3777923086,11.546259788127196,8954,20564,0,0,1.6535863621743325,1
2025-08-29T03:54:47.026925,SUCCESS,0.2,10,8954,14923,263886.9070639745,198325.9123827172,241310.07172077714,1916055.2008069693,12.594108542339832,8954,20422,0,0,1.3684915901628358,1
